MSME_ID,Sector,Growth_Category,Selected_Scheme,Subsidy_Cost,Revenue_Before,Revenue_After,Revenue_Gain,Jobs_Created,Impact_Score,Efficiency_ROI,Allocation_Status,Justification
MSME_111,Textiles,Moderate,Textile Modernization,550000,651,729.12,78.12,7,56.784,0.00010324363636363636,Rejected,Budget Capacity Exhausted
MSME_277,Manufacturing,High,Green Tech Grant,850000,548,668.56,120.56,9,87.092,0.00010246117647058823,Rejected,Budget Capacity Exhausted
MSME_354,Textiles,Moderate,Textile Modernization,550000,640,716.8,76.8,7,55.86,0.00010156363636363636,Rejected,Budget Capacity Exhausted
MSME_054,Technology,High,Pharma R&D Incentive,1000000,562,702.5,140.5,10,101.35,0.00010135,Rejected,Budget Capacity Exhausted
MSME_390,Manufacturing,Moderate,Textile Modernization,550000,630,705.6,75.6,7,55.019999999999996,0.00010003636363636363,Rejected,Budget Capacity Exhausted
MSME_362,Manufacturing,High,Green Tech Grant,850000,532,649.04,117.04,9,84.628,9.956235294117647e-05,Rejected,Budget Capacity Exhausted
MSME_140,Manufacturing,High,Green Tech Grant,850000,504,614.88,110.88,9,80.31599999999999,9.448941176470586e-05,Rejected,Budget Capacity Exhausted
MSME_200,Retail,Moderate,Rural Agri-Boost,400000,333,382.95,49.95,6,36.76499999999999,9.191249999999998e-05,Rejected,Budget Capacity Exhausted
MSME_275,Manufacturing,Moderate,Textile Modernization,550000,573,641.76,68.76,7,50.232,9.133090909090909e-05,Rejected,Budget Capacity Exhausted
MSME_148,Retail,Moderate,Rural Agri-Boost,400000,317,364.55,47.55,6,35.084999999999994,8.771249999999998e-05,Rejected,Budget Capacity Exhausted
MSME_015,Textiles,Moderate,Textile Modernization,550000,541,605.92,64.92,7,47.544,8.644363636363636e-05,Rejected,Budget Capacity Exhausted
MSME_173,Retail,Moderate,Rural Agri-Boost,400000,312,358.8,46.8,6,34.559999999999995,8.639999999999999e-05,Rejected,Budget Capacity Exhausted
MSME_217,Technology,High,Pharma R&D Incentive,1000000,464,580.0,116.0,10,84.19999999999999,8.419999999999999e-05,Rejected,Budget Capacity Exhausted
MSME_359,Manufacturing,High,Green Tech Grant,850000,428,522.16,94.16,9,68.612,8.072e-05,Rejected,Budget Capacity Exhausted
MSME_312,Renewable Energy,High,Green Tech Grant,850000,385,469.7,84.7,9,61.99,7.292941176470589e-05,Rejected,Budget Capacity Exhausted
MSME_233,Technology,Low,Digital Startup Fund,300000,276,303.6,27.6,4,20.52,6.84e-05,Rejected,Budget Capacity Exhausted
MSME_061,Retail,Moderate,Rural Agri-Boost,400000,240,276.0,36.0,6,27.0,6.75e-05,Rejected,Budget Capacity Exhausted
MSME_264,Manufacturing,Moderate,Textile Modernization,550000,408,456.96,48.96,7,36.372,6.61309090909091e-05,Rejected,Budget Capacity Exhausted
MSME_214,Renewable Energy,High,Green Tech Grant,850000,340,414.8,74.8,9,55.059999999999995,6.47764705882353e-05,Rejected,Budget Capacity Exhausted
MSME_055,Renewable Energy,High,Green Tech Grant,850000,327,398.94,71.94,9,53.058,6.242117647058824e-05,Rejected,Budget Capacity Exhausted
MSME_125,Agri-Tech,Moderate,Rural Agri-Boost,400000,215,247.25,32.25,6,24.375,6.09375e-05,Rejected,Budget Capacity Exhausted
MSME_101,Renewable Energy,High,Green Tech Grant,850000,314,383.08,69.08,9,51.056,6.0065882352941175e-05,Rejected,Budget Capacity Exhausted
MSME_247,Manufacturing,High,Green Tech Grant,850000,313,381.86,68.86,9,50.902,5.988470588235294e-05,Rejected,Budget Capacity Exhausted
MSME_394,Textiles,Moderate,Textile Modernization,550000,362,405.44,43.44,7,32.507999999999996,5.9105454545454536e-05,Rejected,Budget Capacity Exhausted
MSME_164,Technology,High,Pharma R&D Incentive,1000000,320,400.0,80.0,10,59.0,5.9e-05,Rejected,Budget Capacity Exhausted
MSME_293,Manufacturing,Moderate,Textile Modernization,550000,359,402.08,43.08,7,32.25599999999999,5.8647272727272714e-05,Rejected,Budget Capacity Exhausted
MSME_248,Manufacturing,High,Green Tech Grant,850000,302,368.44,66.44,9,49.208,5.789176470588235e-05,Rejected,Budget Capacity Exhausted
MSME_149,Manufacturing,Moderate,Textile Modernization,550000,345,386.4,41.4,7,31.08,5.650909090909091e-05,Rejected,Budget Capacity Exhausted
MSME_380,Manufacturing,High,Green Tech Grant,850000,289,352.58,63.58,9,47.205999999999996,5.553647058823529e-05,Rejected,Budget Capacity Exhausted
MSME_281,Technology,High,Pharma R&D Incentive,1000000,300,375.0,75.0,10,55.5,5.55e-05,Rejected,Budget Capacity Exhausted
MSME_231,Pharmaceuticals,High,Pharma R&D Incentive,1000000,300,375.0,75.0,10,55.5,5.55e-05,Rejected,Budget Capacity Exhausted
MSME_089,Technology,High,Pharma R&D Incentive,1000000,285,356.25,71.25,10,52.875,5.2875e-05,Rejected,Budget Capacity Exhausted
MSME_113,Textiles,Moderate,Textile Modernization,550000,302,338.24,36.24,7,27.468,4.994181818181818e-05,Rejected,Budget Capacity Exhausted
MSME_179,Manufacturing,Moderate,Textile Modernization,550000,296,331.52,35.52,7,26.964000000000002,4.902545454545455e-05,Rejected,Budget Capacity Exhausted
MSME_346,Renewable Energy,High,Green Tech Grant,850000,251,306.22,55.22,9,41.354,4.865176470588235e-05,Rejected,Budget Capacity Exhausted
MSME_038,Manufacturing,High,Green Tech Grant,850000,246,300.12,54.12,9,40.583999999999996,4.774588235294117e-05,Rejected,Budget Capacity Exhausted
MSME_352,Manufacturing,High,Green Tech Grant,850000,235,286.7,51.7,9,38.89,4.5752941176470586e-05,Rejected,Budget Capacity Exhausted
MSME_004,Renewable Energy,High,Green Tech Grant,850000,216,263.52,47.52,9,35.964000000000006,4.2310588235294126e-05,Rejected,Budget Capacity Exhausted
MSME_154,Retail,Moderate,Rural Agri-Boost,400000,138,158.7,20.7,6,16.29,4.0725e-05,Rejected,Budget Capacity Exhausted
MSME_166,Manufacturing,Moderate,Textile Modernization,550000,227,254.24,27.24,7,21.168,3.8487272727272724e-05,Rejected,Budget Capacity Exhausted
MSME_162,Manufacturing,High,Green Tech Grant,850000,184,224.48,40.48,9,31.035999999999994,3.651294117647058e-05,Rejected,Budget Capacity Exhausted
MSME_163,Textiles,Moderate,Textile Modernization,550000,202,226.24,24.24,7,19.067999999999998,3.466909090909091e-05,Rejected,Budget Capacity Exhausted
MSME_068,Manufacturing,High,Green Tech Grant,850000,172,209.84,37.84,9,29.188,3.433882352941176e-05,Rejected,Budget Capacity Exhausted
MSME_142,Manufacturing,Moderate,Textile Modernization,550000,187,209.44,22.44,7,17.808,3.2378181818181815e-05,Rejected,Budget Capacity Exhausted
MSME_311,Textiles,Moderate,Textile Modernization,550000,181,202.72,21.72,7,17.304,3.146181818181818e-05,Rejected,Budget Capacity Exhausted
MSME_330,Textiles,Moderate,Textile Modernization,550000,161,180.32,19.32,7,15.623999999999999,2.8407272727272726e-05,Rejected,Budget Capacity Exhausted
MSME_169,Renewable Energy,High,Green Tech Grant,850000,123,150.06,27.06,9,21.641999999999996,2.546117647058823e-05,Rejected,Budget Capacity Exhausted
MSME_203,Renewable Energy,High,Green Tech Grant,850000,111,135.42,24.42,9,19.794,2.3287058823529414e-05,Rejected,Budget Capacity Exhausted
MSME_161,Renewable Energy,High,Green Tech Grant,850000,95,115.9,20.9,9,17.33,2.0388235294117644e-05,Rejected,Budget Capacity Exhausted
MSME_062,Renewable Energy,High,Green Tech Grant,850000,93,113.46,20.46,9,17.022,2.0025882352941175e-05,Rejected,Budget Capacity Exhausted
MSME_365,Renewable Energy,High,Green Tech Grant,850000,86,104.92,18.92,9,15.943999999999999,1.8757647058823528e-05,Rejected,Budget Capacity Exhausted
MSME_299,Agri-Tech,Moderate,Rural Agri-Boost,400000,48,55.2,7.2,6,6.84,1.71e-05,Rejected,Budget Capacity Exhausted
MSME_399,Textiles,Moderate,Textile Modernization,550000,79,88.48,9.48,7,8.736,1.5883636363636364e-05,Rejected,Budget Capacity Exhausted
MSME_336,Textiles,Moderate,Textile Modernization,550000,59,66.08,7.08,7,7.056,1.282909090909091e-05,Rejected,Budget Capacity Exhausted
MSME_137,Manufacturing,High,Green Tech Grant,850000,48,58.56,10.56,9,10.091999999999999,1.1872941176470587e-05,Rejected,Budget Capacity Exhausted
MSME_001,Renewable Energy,High,Green Tech Grant,850000,44,53.68,9.68,9,9.475999999999999,1.1148235294117646e-05,Rejected,Budget Capacity Exhausted
MSME_059,Retail,Moderate,Rural Agri-Boost,400000,23,26.45,3.45,6,4.215,1.05375e-05,Rejected,Budget Capacity Exhausted
MSME_009,Renewable Energy,High,Green Tech Grant,850000,33,40.26,7.26,9,7.782,9.15529411764706e-06,Rejected,Budget Capacity Exhausted
MSME_288,Agri-Tech,Moderate,Rural Agri-Boost,400000,11,12.65,1.65,6,2.955,7.3875e-06,Rejected,Budget Capacity Exhausted
