MSME_ID,Sector,Years_of_Operation,Ownership_Type,Category,Location_Type,Annual_Revenue,Revenue_Growth_Rate,Profit_Margin,Debt_Outstanding,Loan_to_Revenue_Ratio,Number_of_Employees,Capacity_Utilization,Export_Percentage,Technology_Level,GST_Compliance_Score,Inspection_Score,Documentation_Readiness_Score,Growth_Category
MSME_028,Services,16,Partnership,Medium,Urban,427,2.0284436344664174,9.779767536619726,106,0.1102853720584677,52,75.10772318855047,51.88251938019785,5,97,57,65,Moderate
MSME_029,Textiles,12,Pvt Ltd,Medium,Rural,783,8.919621492124866,13.45657763330871,191,0.3653658340703554,127,80.31519907955943,68.56952506761995,4,45,62,50,Moderate
MSME_030,Technology,19,Sole Proprietorship,Small,Rural,304,24.56843660991899,12.717468584329882,50,0.33614188273836487,26,77.18689686735596,70.33550829679639,1,71,93,41,Moderate
MSME_031,Agri-Tech,14,Sole Proprietorship,Micro,Urban,764,12.922390500643028,28.675899693468075,49,0.11352934164232073,104,47.61395213311668,24.818166399715313,4,80,90,53,High
MSME_032,Manufacturing,6,Sole Proprietorship,Medium,Rural,380,10.79810444561219,29.18390444470688,5,0.18705787930035717,102,71.83620924195759,18.382208302095073,2,87,69,83,Moderate
MSME_033,Technology,6,Partnership,Small,Semi-Urban,195,4.756067046405866,9.57538610586818,58,0.38954987244304473,29,71.32164662947396,1.508067404314417,4,82,97,69,Moderate
MSME_034,Services,13,Sole Proprietorship,Micro,Urban,255,24.405786458444357,5.550879007437604,124,0.44500520911321273,32,87.762593336776,61.12792360810524,3,78,73,88,High
MSME_035,Pharmaceuticals,19,Partnership,Micro,Rural,646,2.4606061862939628,23.000200991577827,142,0.3830028230784084,117,60.85202121066058,6.891143259018508,3,70,97,51,Moderate
MSME_036,Agri-Tech,8,Sole Proprietorship,Micro,Urban,277,18.955145175166592,15.449748346762108,29,0.4716563748884657,49,60.43172690126888,37.868508158933324,5,81,43,65,High
MSME_037,Technology,2,Sole Proprietorship,Micro,Semi-Urban,652,19.677795510135695,7.22100612718911,169,0.5165921724339771,72,74.01898822950021,54.15139476164665,5,49,42,83,High
MSME_038,Manufacturing,1,Partnership,Medium,Semi-Urban,246,7.604104469468933,22.093852639426064,121,0.10694667478948494,11,74.81899594247321,84.33980504277093,5,69,46,72,High
MSME_039,Manufacturing,15,Partnership,Medium,Rural,539,17.44584420309986,18.627638206517492,124,0.42486661161745276,53,65.81068750291847,28.06219232601918,1,96,95,52,Moderate
MSME_040,Retail,1,Sole Proprietorship,Small,Semi-Urban,561,4.137370320725968,29.51292055002765,36,0.7744494686213118,141,64.36826492817316,22.47949462018678,5,91,57,53,High
MSME_041,Retail,5,Partnership,Small,Urban,30,7.912087127937837,10.685237396534474,169,0.46332259609068416,87,67.17812188508356,58.87441388574886,1,57,81,63,Low
MSME_042,Renewable Energy,16,Sole Proprietorship,Small,Semi-Urban,746,20.121745730722093,15.099446908163706,123,0.5742795872212673,133,87.35749147268216,55.73151288482235,5,99,46,73,High
MSME_043,Services,19,Partnership,Micro,Urban,529,21.887782416771426,18.56364508488557,100,0.31830470054181825,142,65.36417956896506,29.889880497731212,1,63,79,83,Moderate
MSME_044,Textiles,4,Pvt Ltd,Micro,Urban,109,15.9951874911752,24.792499711333793,34,0.6417939647069338,77,91.69624855834024,83.5291651958808,4,91,45,65,High
MSME_045,Technology,3,Pvt Ltd,Medium,Semi-Urban,761,13.657283931871099,18.720966418001467,86,0.6410450373132806,50,67.72020699779793,76.03760947406695,4,48,61,60,High
MSME_046,Technology,17,Pvt Ltd,Micro,Rural,487,5.663992474236547,20.32250402154873,133,0.4649072333578973,110,92.20603812494903,20.158429127857303,3,70,97,67,Moderate
MSME_047,Textiles,17,Pvt Ltd,Micro,Semi-Urban,608,3.451507760820454,10.653676289748518,195,0.7832096762954496,36,85.80575460279917,21.522829089107088,1,54,40,87,Low
MSME_048,Renewable Energy,12,Pvt Ltd,Micro,Urban,307,4.705927654891848,26.172968202213998,17,0.1878851503338574,10,59.933722743870604,46.10703121983725,2,43,43,75,Moderate
MSME_049,Pharmaceuticals,14,Sole Proprietorship,Small,Urban,535,7.229217902210272,15.715763674261893,112,0.1118633654227067,149,87.50027817131388,69.62148915576483,3,79,85,79,Moderate
MSME_050,Pharmaceuticals,6,Pvt Ltd,Small,Semi-Urban,343,9.85851354362918,8.523990688044233,28,0.6391107482299672,78,46.05348063106133,3.9636341449617953,4,48,88,41,Moderate
MSME_051,Renewable Energy,3,Pvt Ltd,Medium,Rural,11,10.760919086752706,21.604697862635433,76,0.6650088761554178,118,90.87759464386579,62.4001638361236,1,84,91,81,Moderate
MSME_052,Pharmaceuticals,9,Pvt Ltd,Micro,Rural,384,9.96540067754708,10.402261329632687,58,0.18414506038440337,31,74.74039332955904,58.341230764388726,5,48,89,48,Moderate
MSME_053,Retail,5,Pvt Ltd,Micro,Urban,302,7.498272640537109,7.439062755982493,174,0.2859079830710243,58,42.991491168727116,20.83320863216894,2,65,82,62,Low
MSME_054,Technology,17,Partnership,Medium,Urban,562,13.723657675289058,26.549672710106808,125,0.11228665435664024,89,75.43411980079463,61.32177119172139,4,43,68,54,High
MSME_055,Renewable Energy,14,Sole Proprietorship,Micro,Rural,327,20.981580489356627,16.50405661221099,144,0.3053160275463953,131,93.58362097796159,84.61648721268743,3,56,60,52,High
MSME_056,Technology,3,Pvt Ltd,Micro,Semi-Urban,511,8.433181384844023,23.73209281739441,108,0.6411993117430701,115,43.839036003804594,4.210726047459167,1,55,65,62,Moderate
MSME_057,Textiles,1,Pvt Ltd,Small,Urban,390,23.674901439351363,12.264688995158878,21,0.4625723693988053,19,70.50782403790475,28.768684976285627,2,54,53,56,Moderate
MSME_058,Manufacturing,1,Pvt Ltd,Medium,Urban,632,22.0867432196485,24.674253372941656,67,0.3436669152178017,136,81.12868923676548,39.435904499971976,1,74,48,87,Moderate
MSME_059,Retail,3,Sole Proprietorship,Medium,Rural,23,5.720576861098521,7.798398175538258,68,0.3602175064344312,97,84.56422226847423,80.93343230322206,5,96,98,99,Moderate
MSME_060,Agri-Tech,18,Partnership,Medium,Semi-Urban,513,20.084347005413175,13.899334344871319,164,0.10094753800082772,127,62.76051059264377,86.6035301948241,3,91,86,41,High
MSME_061,Retail,10,Sole Proprietorship,Medium,Rural,240,15.215509793308632,29.451545449338212,48,0.3098603692956652,77,51.229160754253364,39.970372184669905,1,44,51,59,Moderate
MSME_062,Renewable Energy,3,Partnership,Small,Semi-Urban,93,15.031233329942626,24.849742909200152,140,0.5525211191465514,96,42.32882533248111,67.5025570927972,4,94,81,59,High
MSME_063,Agri-Tech,8,Pvt Ltd,Small,Semi-Urban,139,10.993983550338012,17.431398257867205,161,0.78193611067145,21,71.88493864034736,47.84949213880347,3,44,90,98,Moderate
MSME_064,Manufacturing,14,Pvt Ltd,Micro,Semi-Urban,752,13.526518981186223,13.494436789047127,108,0.6929425788887297,47,64.9101088647186,48.40046412672388,4,59,95,85,Moderate
MSME_065,Renewable Energy,18,Sole Proprietorship,Micro,Urban,154,11.135111880871854,26.803392500561912,85,0.1165164752518704,125,92.1809417332341,25.02895635597208,1,54,90,42,Moderate
MSME_066,Services,15,Sole Proprietorship,Micro,Rural,37,14.413850231478685,18.621193977112892,52,0.7289924232723876,45,43.333269924320035,19.526062127749157,3,57,45,94,Moderate
MSME_067,Technology,2,Partnership,Micro,Rural,75,16.442851213770624,23.96062544672778,122,0.6482388893090382,43,77.69674388953032,25.920481133163705,4,86,59,51,High
MSME_068,Manufacturing,10,Partnership,Small,Semi-Urban,172,17.50898754740811,23.8526920079041,86,0.6462632864996863,117,41.37314221660314,50.06952065313714,5,41,63,79,High
MSME_069,Technology,2,Sole Proprietorship,Medium,Urban,238,14.247067428866801,5.448641964212296,178,0.42059703130250004,115,49.42887971907985,2.62396674198801,5,68,66,41,Moderate
MSME_070,Pharmaceuticals,17,Partnership,Small,Urban,270,18.592707548560828,8.156344569815337,130,0.378603705068152,51,64.94684499575588,81.65240499207653,1,52,77,75,Moderate
MSME_071,Services,8,Sole Proprietorship,Micro,Rural,458,5.249395133336634,21.490734159868556,41,0.3120410101832348,67,65.01798435415775,14.06553385947986,3,43,47,53,Moderate
MSME_072,Services,1,Partnership,Small,Urban,433,6.875597290751486,9.040495282146786,97,0.14598640126805607,114,77.71352986135042,19.80798091842479,2,81,40,55,Low
MSME_073,Manufacturing,9,Sole Proprietorship,Medium,Urban,469,20.830905093708214,11.387333616390118,159,0.2597647544455894,73,90.06171691772661,46.64485588028817,3,84,93,58,Moderate
MSME_074,Services,11,Sole Proprietorship,Medium,Semi-Urban,685,9.41814349046755,28.66594885499018,108,0.27262254448461726,47,75.14676874032065,63.91032897035514,5,49,88,73,High
MSME_075,Agri-Tech,16,Sole Proprietorship,Small,Urban,310,2.526557974450766,19.004556459372797,50,0.4388539487971411,38,92.44443038183299,8.615614926995757,4,70,88,83,Moderate
MSME_076,Services,7,Partnership,Small,Semi-Urban,312,5.537196442364715,23.76823767498368,84,0.6232110846176858,44,88.48886019328987,28.592522779244597,2,80,63,85,Moderate
MSME_077,Technology,10,Partnership,Small,Rural,296,7.1431319934151585,18.949518469565994,173,0.43166687987856267,65,72.14748875419346,87.18071450169214,1,47,86,45,Moderate
MSME_078,Technology,3,Partnership,Micro,Urban,404,24.018426421575505,18.81284036956813,126,0.14049111461301245,66,85.8585573005355,23.610867010285112,2,42,46,52,Moderate
MSME_079,Renewable Energy,18,Sole Proprietorship,Small,Rural,19,15.179952865409534,7.353797753142448,20,0.7704528606917428,62,75.34176856779987,28.17451305568322,1,87,58,75,Low
MSME_080,Technology,13,Partnership,Small,Rural,716,23.45280703095386,13.591579815227576,43,0.7599070233658786,79,44.32068070080499,75.28486415562301,2,85,61,61,High
MSME_081,Renewable Energy,7,Partnership,Small,Urban,639,15.228757061422373,12.060772467162792,138,0.6496326802038859,20,80.73105977927304,4.519298852140973,1,48,96,57,Low
MSME_082,Technology,4,Sole Proprietorship,Medium,Urban,279,13.02515212317059,14.76820914034033,102,0.7939295310949545,86,45.21996426970404,41.81518519280738,1,69,94,51,Moderate
MSME_083,Agri-Tech,13,Pvt Ltd,Medium,Rural,601,9.21573689746421,24.958604705608206,67,0.4811376329601841,98,72.67455293133418,34.16550880065032,2,92,99,91,Moderate
MSME_084,Textiles,1,Sole Proprietorship,Micro,Urban,614,15.946531721967638,14.29831669792162,128,0.7739378451772443,52,78.64521132220258,28.492808391778603,2,50,74,98,Moderate
MSME_085,Renewable Energy,8,Partnership,Micro,Semi-Urban,787,5.201554566203186,16.292420480792067,91,0.15292352843172555,142,43.659018451597035,25.712963464028807,1,74,69,93,Low
MSME_086,Retail,14,Sole Proprietorship,Medium,Semi-Urban,370,22.66001742773224,14.934534762132913,190,0.35597652378295996,86,52.693705965959246,8.223669437436827,5,76,68,69,High
MSME_087,Pharmaceuticals,16,Pvt Ltd,Medium,Urban,266,21.074645318249527,7.33519929938239,23,0.2577668876047361,42,90.36197277439075,28.334324641648394,2,81,61,92,Moderate
MSME_088,Manufacturing,14,Sole Proprietorship,Medium,Rural,142,9.303223301164952,16.026803956269593,124,0.23708315889398904,131,73.8972970728093,3.8747162444101715,3,52,50,90,Moderate
MSME_089,Technology,12,Partnership,Small,Urban,285,23.91434313482977,9.890231826112876,140,0.19856206422487327,23,53.545731034579234,70.28674772799917,4,75,59,79,High
MSME_090,Services,19,Pvt Ltd,Small,Urban,785,20.97961765055807,9.668082394326037,110,0.5356895490961977,67,77.98738741314037,35.84050145622105,1,95,68,46,Moderate
MSME_091,Textiles,15,Partnership,Medium,Rural,692,17.325058374205913,7.350902610856659,97,0.6469252990231136,81,72.82270309789293,39.951344908792045,1,52,90,71,Moderate
MSME_092,Technology,2,Pvt Ltd,Small,Rural,522,4.80052395588132,13.916774353544119,138,0.5048088795942525,135,67.58666349548716,80.42351278051184,4,51,80,87,Moderate
MSME_093,Services,2,Pvt Ltd,Small,Semi-Urban,322,12.999382530105663,23.937047119735436,178,0.20287389671174677,106,93.6902836243446,59.22494854750987,5,76,81,58,High
MSME_094,Pharmaceuticals,19,Sole Proprietorship,Micro,Rural,585,13.64047376147527,11.911042264584902,16,0.6677866389534297,69,77.58995775741299,0.725319300790781,4,49,73,45,Moderate
MSME_095,Pharmaceuticals,17,Sole Proprietorship,Medium,Semi-Urban,293,7.348681242403742,12.808727547137838,98,0.54516829501461,124,60.64926103173519,84.88573406651565,2,99,40,59,Moderate
MSME_096,Pharmaceuticals,10,Partnership,Medium,Rural,130,3.8392040702639445,21.06686644181059,81,0.3717159942888969,95,84.00403876422774,21.34300193799401,4,95,70,66,Moderate
MSME_097,Services,6,Sole Proprietorship,Small,Urban,116,19.86464350084893,9.896020314672972,103,0.5718912068752441,12,88.65208111066534,9.685276628387296,1,48,69,92,Moderate
MSME_098,Technology,15,Sole Proprietorship,Medium,Semi-Urban,696,4.806806198861086,27.423948260588357,151,0.281933485469983,77,46.887130773425724,69.1315360542794,4,91,87,82,High
MSME_099,Pharmaceuticals,11,Pvt Ltd,Micro,Semi-Urban,213,15.668687262920818,18.00476308128886,18,0.3416345459459474,138,51.030413781489656,45.04295842800464,3,46,57,76,Moderate
MSME_100,Agri-Tech,5,Sole Proprietorship,Micro,Semi-Urban,174,23.53833099932419,16.190073508005426,164,0.7422400901923932,111,51.89248550202788,39.03935094162158,2,41,94,87,Moderate
MSME_101,Renewable Energy,1,Pvt Ltd,Micro,Urban,314,22.15041942975498,18.945504798230033,84,0.3033531539699943,93,78.01664951625972,22.45527717144676,4,93,97,46,High
MSME_102,Services,8,Pvt Ltd,Medium,Urban,506,8.388310346233006,9.150857835404887,7,0.4289917877105557,43,73.16717552793058,49.27243408760868,1,95,56,98,Low
MSME_103,Services,12,Pvt Ltd,Medium,Urban,641,21.5833186636791,20.33682846597941,27,0.7230987961772103,117,74.04453605842235,24.69461446823287,2,99,77,44,Moderate
MSME_104,Technology,12,Partnership,Medium,Urban,565,2.0076476407712565,14.07751841585026,4,0.5954049451872693,32,91.74253148292254,81.14247047583608,1,62,53,50,Low
MSME_105,Services,5,Partnership,Medium,Urban,165,2.406819621104916,27.429658524115474,144,0.14354225831529194,101,82.67513430440184,19.36840317598735,5,78,62,54,Moderate
MSME_106,Services,7,Partnership,Medium,Semi-Urban,376,15.858722768385894,9.221355166942153,100,0.20311213099527925,41,47.036530848148075,79.59196354101782,3,79,64,42,Moderate
MSME_107,Pharmaceuticals,4,Pvt Ltd,Micro,Urban,728,10.390359040324178,17.676277596636027,163,0.10548911354034178,141,59.11288953338496,50.346488315462125,5,78,54,97,High
MSME_108,Technology,6,Partnership,Small,Semi-Urban,629,10.888599346660385,19.95281573422545,117,0.5416452531604145,86,63.946650539665455,74.5639320505717,3,60,85,44,Moderate
MSME_109,Pharmaceuticals,13,Partnership,Micro,Urban,260,14.982145085614297,5.834590044659531,146,0.4133713977872928,60,61.77788738111827,64.15613962748594,4,62,95,62,Moderate
MSME_110,Renewable Energy,15,Sole Proprietorship,Medium,Rural,343,6.410996478612793,14.092328118903506,63,0.19399239563159287,89,76.81197350390335,62.70256002930737,2,68,61,92,Moderate
MSME_111,Textiles,3,Partnership,Micro,Semi-Urban,651,6.870373065306002,23.31588086752082,90,0.7705538847397394,6,89.05412067911095,29.191122692555016,4,53,42,76,Moderate
MSME_112,Renewable Energy,8,Partnership,Medium,Rural,520,13.145836501433887,25.509437686224334,116,0.4707618067619339,62,56.83283049375334,21.050723832498313,3,65,95,48,Moderate
MSME_113,Textiles,16,Pvt Ltd,Medium,Semi-Urban,302,19.34783151990885,12.829049870432058,97,0.2693253058790225,111,70.3532425031652,18.97976049127093,3,90,94,54,Moderate
MSME_114,Pharmaceuticals,13,Pvt Ltd,Micro,Rural,29,16.248448282374518,24.964831809568782,10,0.4504224998082953,127,83.4175182052472,77.14724913536298,3,44,58,42,High
MSME_115,Renewable Energy,18,Pvt Ltd,Medium,Urban,291,8.839166109447294,29.19389692758472,53,0.5757342329145755,118,62.891993236494216,73.8384138233118,1,94,96,68,Moderate
MSME_116,Technology,10,Pvt Ltd,Small,Urban,10,11.897755082705187,26.42184840187735,172,0.15336745258149515,111,49.24649706196127,39.65161752110766,2,70,83,45,Moderate
MSME_117,Manufacturing,19,Pvt Ltd,Medium,Urban,128,5.9252894466499635,7.94109970398313,46,0.2922926705335244,41,66.12230308950615,11.916415214680914,4,64,73,56,Moderate
MSME_118,Pharmaceuticals,17,Pvt Ltd,Small,Semi-Urban,44,3.7164857297528795,23.493258302138514,139,0.6648758436187956,83,43.03723864086657,34.402702677971256,4,70,74,65,Moderate
MSME_119,Textiles,19,Partnership,Small,Rural,207,20.00200893711543,12.991670811013618,148,0.4217654092818629,96,91.83108997012522,55.740910872322026,5,89,89,60,High
MSME_120,Agri-Tech,5,Pvt Ltd,Medium,Urban,494,8.103910411328474,29.710399735301912,138,0.48260399942260646,22,44.11516628572352,40.89628390319575,3,59,40,47,Moderate
MSME_121,Textiles,9,Pvt Ltd,Micro,Rural,766,6.088626920578709,17.133974578997176,4,0.40297120154662847,102,64.1151193387818,70.21703416346955,3,83,91,60,Moderate
MSME_122,Agri-Tech,12,Sole Proprietorship,Small,Rural,68,17.907215278094345,8.060847458973527,183,0.1307299598501036,67,69.14346935986894,89.7860540026247,3,94,60,96,High
MSME_123,Services,1,Partnership,Micro,Urban,170,16.21518850860528,23.12963870068477,19,0.21602484587410917,143,94.1917107758007,17.201887960400715,4,56,68,50,High
MSME_124,Renewable Energy,1,Partnership,Small,Urban,700,16.563361398309674,13.075279959655346,168,0.4118791471193237,8,49.13120030035734,41.36857376936152,5,84,45,77,High
MSME_125,Agri-Tech,15,Partnership,Medium,Rural,215,7.264575911472113,29.92695392704154,45,0.2464298257855495,139,46.29373352367972,38.78855117287398,1,41,76,47,Moderate
MSME_126,Textiles,2,Pvt Ltd,Medium,Urban,21,7.350847386941663,29.494561446363047,11,0.13498532006177513,65,40.4788380884399,27.404327947405573,2,64,40,81,Moderate
MSME_127,Services,16,Pvt Ltd,Small,Urban,499,7.0784604850697,21.403350450514516,69,0.6905547648362766,111,48.556429027811625,17.828596504826063,1,52,90,63,Moderate
MSME_128,Manufacturing,8,Pvt Ltd,Medium,Urban,285,5.996309700232773,8.24566122379294,16,0.7868347704148811,58,51.40001384872172,5.91229048406933,4,97,40,74,Moderate
MSME_129,Technology,13,Sole Proprietorship,Small,Semi-Urban,702,17.081644468918093,22.171524941875727,114,0.6552000117977176,92,74.68195178707008,79.84073855013285,3,78,66,94,High
MSME_130,Technology,1,Pvt Ltd,Medium,Rural,251,21.504365360736234,7.3257621615006805,146,0.697649445193267,72,52.08387347152702,37.78638279176859,2,67,60,53,Moderate
MSME_131,Technology,16,Sole Proprietorship,Micro,Rural,225,18.659301802563206,5.734103977559808,153,0.2693839912219318,133,41.12864481011289,44.7205966650044,4,81,92,94,Moderate
MSME_132,Agri-Tech,7,Partnership,Medium,Semi-Urban,260,20.218153576492494,25.57396115553715,47,0.7724388828592399,59,85.46400900263689,82.52478433808243,4,94,55,53,High
MSME_133,Manufacturing,5,Pvt Ltd,Micro,Rural,135,11.310363868959595,10.243823692092034,107,0.23784799311739988,7,60.10776355521817,69.8661429764353,4,45,83,49,Moderate
MSME_134,Agri-Tech,3,Sole Proprietorship,Medium,Urban,226,17.043743293555956,14.475678155477436,51,0.7660008672532826,125,59.45331776194037,11.74511377054658,2,42,98,51,Moderate
MSME_135,Renewable Energy,12,Sole Proprietorship,Micro,Rural,315,10.147433530229815,29.33643474940433,95,0.7963735057761657,133,56.63634660423596,50.887797084696814,2,97,93,77,Moderate
MSME_136,Agri-Tech,16,Pvt Ltd,Medium,Urban,194,14.08660630527872,13.421012546527582,69,0.5982059640222341,106,93.64553024305314,39.802704886760324,5,74,79,83,High
MSME_137,Manufacturing,19,Partnership,Micro,Semi-Urban,48,13.077601470301833,12.412244532082882,182,0.7868006122542753,42,49.35634795201048,71.74899653208865,5,57,65,94,High
MSME_138,Manufacturing,5,Partnership,Small,Urban,232,6.0684043383086514,27.95519999056938,101,0.4986778456969726,89,89.40309351742793,65.18092928507544,1,50,55,85,Moderate
MSME_139,Renewable Energy,14,Partnership,Small,Rural,193,10.902811487719509,7.768711132973953,74,0.2816792482232633,137,82.72418326769383,62.136514971996476,2,93,67,73,Moderate
MSME_140,Manufacturing,5,Sole Proprietorship,Micro,Rural,504,24.167912336094073,23.989560252865793,160,0.4058971199659347,96,44.20639755246222,30.64903519319072,2,59,40,80,High
MSME_141,Textiles,15,Sole Proprietorship,Medium,Rural,436,7.7173459274436675,29.70163916631935,189,0.5154926547651503,25,94.27010058254668,72.4467357359329,2,44,75,49,Moderate
MSME_142,Manufacturing,17,Sole Proprietorship,Micro,Semi-Urban,187,5.077485934428241,27.53240026936622,150,0.1511570934189105,113,54.92512799464558,4.71521660353751,5,58,49,97,Moderate
MSME_143,Technology,14,Sole Proprietorship,Medium,Semi-Urban,437,11.62735429735051,21.29169796766065,142,0.5356402852320723,51,45.42206098623268,14.366241128895052,4,61,82,56,Moderate
MSME_144,Textiles,5,Partnership,Small,Rural,303,20.177767924783407,12.8515198748183,154,0.7868244857336062,88,85.61228287691677,30.206094568012055,3,98,56,56,Moderate
MSME_145,Textiles,12,Pvt Ltd,Medium,Urban,160,15.389409284939362,11.358049529457919,191,0.23307535484860936,87,78.8671543522735,6.912669696235315,5,99,96,42,Moderate
MSME_146,Renewable Energy,16,Sole Proprietorship,Small,Semi-Urban,393,17.662421026479624,25.481377621786528,178,0.6548165814018684,39,73.94703432328454,21.149484978122246,2,58,98,70,Moderate
MSME_147,Retail,16,Sole Proprietorship,Medium,Rural,647,6.362981508017575,26.99554784879238,180,0.7355291556457336,73,48.57894750344133,74.71358846981263,5,86,62,90,High
MSME_148,Retail,7,Partnership,Medium,Rural,317,16.235808439177596,18.135872813642322,81,0.7605911149741547,133,66.31728639407791,85.34263840110714,1,55,46,40,Moderate
MSME_149,Manufacturing,4,Pvt Ltd,Medium,Semi-Urban,345,9.440509082963896,11.108498519661653,91,0.7720949230838131,144,82.93058147879677,27.414212019677144,2,63,83,51,Moderate
MSME_150,Textiles,1,Pvt Ltd,Micro,Semi-Urban,755,21.188977416959652,7.823580210279339,178,0.4650217471050304,31,56.69931659791121,23.80642235899544,1,80,92,78,Moderate
MSME_151,Retail,5,Partnership,Micro,Semi-Urban,384,16.47387253824693,7.179486695795779,174,0.7841155355940527,60,57.142940568327276,25.190338702178423,2,43,46,43,Moderate
MSME_152,Retail,10,Partnership,Small,Urban,17,6.573694388831806,22.97693618384639,3,0.6301171449941072,27,40.172749832646716,24.994717861575946,5,54,83,81,Moderate
